time,England,Northern Ireland,Scotland,Wales
2020-02-03,1,0,0,0
2020-02-04,0,0,0,0
2020-02-05,1,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,4,0,0,0
2020-02-09,1,0,0,0
2020-02-10,0,0,0,0
2020-02-11,1,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,1,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,2,0,0,0
2020-02-25,5,0,0,0
2020-02-26,4,0,0,0
2020-02-27,7,0,0,1
2020-02-28,11,0,0,0
2020-02-29,4,0,0,0
2020-03-01,20,0,0,0
2020-03-02,37,0,0,0
2020-03-03,51,0,0,0
2020-03-04,48,0,0,1
2020-03-05,46,0,0,0
2020-03-06,69,0,0,0
2020-03-07,45,0,0,1
2020-03-08,50,0,0,1
2020-03-09,121,0,5,3
2020-03-10,217,0,8,12
2020-03-11,343,0,6,15
2020-03-12,406,0,28,25
2020-03-13,377,0,22,28
2020-03-14,309,0,53,16
2020-03-15,383,0,31,31
2020-03-16,533,0,14,37
2020-03-17,662,0,23,37
2020-03-18,887,0,27,35
2020-03-19,898,0,49,60
2020-03-20,1035,0,56,72
2020-03-21,1009,0,51,75
2020-03-22,1185,0,43,76
2020-03-23,1964,0,83,130
2020-03-24,1978,0,85,135
2020-03-25,2194,0,135,183
2020-03-26,2518,234,175,173
2020-03-27,2531,34,165,185
2020-03-28,2325,0,205,166
2020-03-29,2390,0,153,156
2020-03-30,3417,243,215,334
2020-03-31,3641,46,361,271
2020-04-01,3973,93,312,320
2020-04-02,3915,77,292,333
2020-04-03,3910,111,399,324
2020-04-04,3261,0,342,281
2020-04-05,2994,0,360,221
2020-04-06,4167,237,255,379
2020-04-07,4365,85,268,376
2020-04-08,4099,74,335,383
2020-04-09,3893,126,392,391
2020-04-10,3426,207,317,304
2020-04-11,2914,0,325,244
2020-04-12,2836,0,322,244
2020-04-13,3282,0,155,268
2020-04-14,3367,0,291,312
2020-04-15,3934,487,390,356
2020-04-16,4057,121,354,359
2020-04-17,3818,0,307,322
2020-04-18,3765,0,411,244
2020-04-19,3214,0,367,178
2020-04-20,3445,0,263,275
2020-04-21,3770,0,222,253
2020-04-22,4646,0,366,251
2020-04-23,4426,0,371,199
2020-04-24,4163,0,288,207
2020-04-25,3234,0,354,135
2020-04-26,2991,0,273,120
2020-04-27,3957,0,197,170
2020-04-28,3910,0,200,151
