time,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAJIRA,GUAVIARE,HUILA,MAGDALENA,META,NARINO,NORTE SANTANDER,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE,VAUPES,VICHADA
2006-12-31,0,1,7,79,0,31,4,7,3,24,1,28,0,5,5,0,4,8,77,8,17,0,111,5,26,18,0,112,21,34,25,0,0
2007-01-07,0,2,6,28,0,6,2,9,5,14,2,10,0,4,9,0,1,1,46,8,12,0,81,4,31,8,3,93,21,22,11,0,1
2007-01-14,0,1,4,23,0,9,2,6,2,16,3,14,0,7,13,0,3,1,69,6,28,2,85,1,35,10,3,88,24,30,7,0,1
2007-01-21,0,1,7,42,0,9,3,8,6,15,5,23,2,8,5,0,4,2,65,4,36,1,93,9,36,15,3,112,19,43,7,0,2
2007-01-28,0,2,5,50,0,8,2,4,12,12,19,31,1,4,10,0,16,12,54,16,25,1,128,4,41,13,2,74,9,31,5,0,2
2007-02-04,0,2,15,45,0,8,3,9,20,9,10,46,3,3,2,0,9,24,73,13,21,2,136,6,63,11,2,121,16,50,5,0,2
2007-02-11,0,2,9,33,0,5,7,20,8,15,20,30,2,1,3,0,12,16,83,11,35,2,98,3,52,22,2,129,14,25,6,0,2
2007-02-18,0,2,15,15,0,6,7,9,10,13,9,13,2,8,6,0,9,4,96,5,46,2,86,11,64,19,1,116,15,31,7,0,2
2007-02-25,2,1,22,44,0,4,3,11,13,23,21,32,2,7,4,0,6,5,74,5,50,1,102,6,53,21,1,91,12,34,10,0,2
2007-03-04,1,1,18,36,0,10,2,22,14,25,17,31,1,13,2,0,17,4,79,8,35,1,77,11,56,19,1,59,16,18,17,0,1
2007-03-11,1,2,33,27,0,3,5,15,12,52,9,22,1,5,3,0,6,14,44,4,36,2,75,12,57,22,1,102,7,41,12,0,1
2007-03-18,1,1,16,19,0,7,2,17,8,46,5,30,1,14,6,0,7,5,63,7,49,2,63,15,36,7,1,153,9,26,16,0,2
2007-03-25,1,2,19,11,0,2,4,20,10,54,7,16,1,5,3,1,4,8,61,1,60,3,80,8,39,10,1,150,6,35,8,0,2
2007-04-01,1,2,14,17,0,3,4,20,12,30,9,16,1,3,9,1,6,10,47,4,48,1,60,22,30,11,1,147,5,35,24,0,2
2007-04-08,1,2,27,27,0,4,13,20,6,35,10,14,1,5,6,1,9,10,80,2,75,1,58,22,42,22,1,200,11,26,4,0,2
2007-04-15,1,2,23,14,0,16,11,26,7,47,2,23,1,6,13,1,15,12,74,7,61,2,77,19,43,25,1,211,14,38,16,0,1
2007-04-22,1,2,25,21,0,7,19,17,11,74,3,16,1,8,6,1,9,6,67,4,59,2,58,12,40,18,1,243,5,25,16,0,1
2007-04-29,1,2,21,24,0,6,14,17,24,93,2,28,1,5,5,1,23,8,69,9,76,2,73,25,33,21,1,264,10,18,32,0,1
2007-05-06,1,2,35,17,0,18,14,12,12,92,3,36,1,5,3,1,24,6,74,3,91,1,58,21,40,19,1,286,8,24,17,0,1
2007-05-13,1,3,51,27,0,17,27,8,12,129,6,40,2,7,10,1,25,9,98,11,102,1,65,13,47,9,1,315,10,35,53,0,21
2007-05-20,1,5,39,20,0,14,22,13,8,119,3,43,3,16,5,2,37,8,56,5,102,1,47,12,34,13,1,310,13,35,16,0,5
2007-05-27,1,2,34,16,0,8,13,7,13,85,7,42,2,18,13,2,19,7,97,8,80,1,59,6,30,29,1,365,20,32,37,0,6
2007-06-03,1,2,25,53,0,14,21,7,5,76,2,59,1,9,9,2,24,12,98,11,97,1,35,7,33,32,1,323,23,23,29,0,12
2007-06-10,1,1,27,35,0,15,13,6,10,80,6,25,2,12,4,1,13,4,80,8,98,1,74,6,35,27,1,351,23,36,20,0,7
2007-06-17,1,3,38,56,0,19,7,10,4,64,6,40,2,11,5,1,15,4,93,15,139,1,72,5,47,17,1,433,25,39,18,0,3
2007-06-24,1,1,33,79,0,17,10,7,1,55,4,31,2,13,3,2,11,8,67,18,123,1,82,1,27,17,3,341,30,49,6,0,4
2007-07-01,1,2,28,77,0,21,8,6,3,41,2,56,1,14,11,3,19,1,76,15,115,1,67,7,47,23,3,264,33,46,16,0,3
2007-07-08,1,1,28,127,0,23,19,8,3,52,1,39,1,5,17,3,19,3,61,31,99,1,81,8,57,4,2,317,30,47,15,0,4
2007-07-15,1,5,33,82,0,15,10,5,3,55,4,37,1,8,14,1,6,1,63,26,79,1,120,14,68,37,2,448,24,38,9,0,6
2007-07-22,1,4,26,120,0,9,5,8,3,41,6,28,1,14,11,1,15,2,95,21,69,1,96,8,48,10,3,387,30,63,9,0,13
2007-07-29,1,3,34,99,0,17,1,8,4,42,7,29,1,25,9,2,11,2,66,30,71,1,91,2,51,9,4,250,32,50,11,0,8
2007-08-05,1,1,28,56,0,14,4,6,7,37,6,22,2,13,4,2,3,3,62,22,68,1,82,2,30,14,5,343,29,37,4,0,3
2007-08-12,1,1,16,79,0,18,1,2,7,30,7,23,2,14,11,3,1,1,59,42,39,1,75,2,55,29,2,317,25,29,4,0,3
2007-08-19,1,1,7,48,0,13,3,4,2,28,3,28,2,6,11,2,8,2,43,23,56,1,57,2,40,27,1,279,16,32,20,0,3
2007-08-26,1,1,13,82,0,12,4,1,4,17,5,20,2,5,6,2,15,1,46,29,53,3,66,4,30,33,5,272,29,29,5,0,23
2007-09-02,1,1,18,87,0,8,3,8,2,36,9,15,2,8,3,1,7,2,42,18,48,2,85,1,36,21,4,247,31,33,16,0,1
2007-09-09,1,1,11,87,0,12,5,2,3,14,5,23,3,11,6,5,4,7,13,41,47,1,83,1,33,18,3,258,25,40,13,0,4
2007-09-16,1,1,12,89,0,15,8,6,3,24,4,32,3,4,3,1,9,8,57,35,29,1,77,4,54,22,3,220,28,64,5,0,2
2007-09-23,1,1,28,99,0,23,4,8,1,15,3,20,1,16,2,1,5,4,61,49,42,1,103,2,52,28,2,200,24,38,11,0,1
2007-09-30,1,2,11,105,0,13,3,5,2,21,2,31,1,5,3,1,13,1,39,44,33,1,103,1,46,24,2,156,35,50,4,0,1
