time,BOCAS DEL TORO,CHIRIQUI,COCLE,COLON,DARIEN,HERRERA,KUNA YALA,LOS SANTOS,NGOBE BUGLE,PANAMA,VERAGUAS
2017-12-31,7,1,31,28,4,8,0,5,0,112,2
2018-01-07,12,6,23,20,4,6,0,4,0,121,3
2018-01-14,17,4,34,14,5,5,0,2,0,113,1
2018-01-21,25,3,17,22,3,5,0,3,0,96,1
2018-01-28,15,2,38,16,6,10,0,5,0,120,1
2018-02-04,7,3,33,20,5,11,0,1,0,95,3
2018-02-11,14,2,31,20,2,10,0,2,0,101,3
2018-02-18,15,0,28,15,5,17,0,3,0,75,1
2018-02-25,7,3,23,13,2,16,1,1,0,51,1
2018-03-04,10,0,19,17,1,14,0,2,0,48,1
2018-03-11,14,3,13,14,2,12,0,1,0,30,3
2018-03-18,3,0,13,12,2,9,0,3,0,27,4
2018-03-25,2,0,15,7,4,15,2,2,0,30,0
2018-04-01,2,0,16,17,2,10,0,2,0,37,4
2018-04-08,5,0,11,5,0,8,0,6,0,31,2
2018-04-15,5,0,11,5,0,8,0,6,0,31,2
2018-04-22,4,1,7,11,1,7,0,0,0,38,2
2018-04-29,4,0,7,8,1,4,0,2,0,35,1
2018-05-06,6,0,9,16,4,8,0,4,0,36,3
2018-05-13,4,1,16,13,1,5,0,0,0,26,6
2018-05-20,0,1,5,17,0,11,0,2,0,35,4
2018-05-27,8,1,4,15,1,9,0,3,0,39,5
2018-06-03,0,1,5,13,0,11,0,1,0,37,2
2018-06-10,1,1,6,16,0,17,0,0,0,41,0
2018-06-17,2,0,3,28,0,14,0,4,0,57,0
2018-06-24,1,3,7,21,2,16,0,4,0,69,0
2018-07-01,2,1,10,23,4,29,0,8,0,54,1
2018-07-08,2,0,11,18,1,32,0,2,0,52,2
2018-07-15,3,0,16,29,8,23,0,3,0,65,3
2018-07-22,7,1,20,42,0,39,0,8,0,71,5
2018-07-29,6,2,16,35,3,22,0,4,1,64,7
2018-08-05,1,1,31,37,0,39,0,2,0,63,7
2018-08-12,6,3,21,31,2,33,1,3,0,75,7
2018-08-19,1,2,32,32,2,49,0,1,0,59,3
2018-08-26,1,1,13,19,1,33,0,6,0,61,2
2018-09-02,1,3,13,23,1,16,0,1,0,54,4
2018-09-09,4,3,21,30,5,12,0,2,0,64,7
2018-09-16,2,2,22,23,5,19,0,4,0,61,3
2018-09-23,3,2,20,43,2,20,0,1,0,69,2
2018-09-30,2,1,22,41,3,8,0,3,0,95,1
2018-10-07,2,0,18,59,0,15,0,4,0,81,1
2018-10-14,1,1,5,63,0,9,1,1,1,55,1
2018-10-21,3,2,10,43,0,6,0,3,0,57,2
2018-10-28,1,1,12,61,2,6,0,0,0,56,4
2018-11-04,0,3,12,65,0,8,0,5,1,60,2
2018-11-11,1,3,26,69,2,8,3,6,0,62,2
2018-11-18,1,0,15,43,0,16,0,4,2,61,0
2018-11-25,7,2,16,26,1,20,0,1,0,58,3
2018-12-02,0,4,15,51,2,11,1,6,0,53,2
2018-12-09,1,2,17,53,1,14,0,4,0,52,1
2018-12-16,0,0,15,44,0,12,0,2,0,43,1
2018-12-23,1,3,8,21,0,5,0,0,0,47,1
2018-12-30,0,2,11,41,2,17,0,6,0,110,0
2019-01-06,1,2,7,47,1,17,0,8,0,46,6
2019-01-13,1,1,9,58,2,5,0,2,0,44,6
2019-01-20,0,0,3,55,1,9,0,4,0,57,1
2019-01-27,0,0,13,47,1,7,0,4,0,22,1
2019-02-03,1,1,6,40,0,10,0,1,0,33,0
2019-02-10,0,0,6,44,0,0,0,1,2,27,4
2019-02-17,0,0,5,23,0,2,0,2,0,37,2
2019-02-24,0,0,4,27,0,4,0,1,0,32,0
2019-03-03,0,0,1,27,0,0,0,2,1,24,2
2019-03-10,0,1,1,15,0,2,0,0,0,20,0
2019-03-17,0,0,3,17,0,0,0,0,0,23,1
2019-03-24,1,0,0,13,0,1,1,1,0,21,0
2019-03-31,0,0,0,15,0,0,0,2,0,28,0
2019-04-07,1,0,0,14,0,1,1,0,0,26,0
2019-04-14,1,0,0,14,0,1,1,0,0,26,0
2019-04-21,0,0,2,20,1,0,0,2,0,16,0
2019-04-28,0,2,1,16,0,0,0,0,0,19,0
2019-05-05,0,1,1,18,0,0,0,0,0,30,0
2019-05-12,0,0,1,7,0,0,2,0,0,17,2
2019-05-19,0,1,4,15,0,0,0,0,0,26,0
2019-05-26,0,0,1,14,2,0,0,2,0,44,2
2019-06-02,0,0,1,26,2,0,0,0,0,25,0
2019-06-09,0,1,4,22,0,0,1,1,0,47,0
2019-06-16,2,2,1,14,0,1,0,2,0,56,0
2019-06-23,1,0,3,34,0,0,1,4,0,46,1
2019-06-30,1,0,3,21,1,0,1,4,0,72,2
2019-07-07,0,1,2,26,1,0,0,0,1,82,0
2019-07-14,0,2,10,35,4,2,0,8,0,78,0
2019-07-21,0,0,7,34,0,0,1,7,0,86,1
2019-07-28,0,1,4,30,0,0,0,1,0,102,0
2019-08-04,0,1,12,41,0,4,1,17,0,109,0
2019-08-11,0,0,7,37,1,0,0,21,0,114,1
2019-08-18,2,2,13,55,0,0,0,20,0,155,2
2019-08-25,0,0,10,40,1,1,0,25,1,139,0
2019-09-01,1,1,11,36,2,4,0,11,0,154,1
2019-09-08,0,5,8,46,2,3,0,10,0,197,5
2019-09-15,1,0,9,62,1,2,7,10,0,231,2
2019-09-22,1,1,8,29,1,4,10,16,0,198,3
2019-09-29,1,3,5,56,0,3,2,12,0,261,5
2019-10-06,0,2,3,35,0,3,2,11,0,224,5
2019-10-13,1,0,3,34,2,3,5,12,0,257,7
2019-10-20,4,1,6,42,1,4,0,13,1,275,3
2019-10-27,1,1,8,30,1,4,0,12,0,283,4
2019-11-03,2,0,4,33,2,6,0,10,1,421,3
2019-11-10,2,1,9,37,0,11,3,9,0,355,8
2019-11-17,1,2,6,41,0,9,0,6,0,348,5
2019-11-24,0,2,4,27,1,8,0,12,0,333,2
2019-12-01,1,10,2,28,0,8,0,9,0,327,3
2019-12-08,0,3,5,35,3,10,0,21,0,291,10
2019-12-15,2,3,9,22,6,6,0,6,0,292,5
2019-12-22,1,2,4,17,5,4,0,5,0,264,5
2019-12-29,1,1,10,22,3,7,0,34,0,360,8
2020-01-05,2,5,9,25,1,7,0,15,0,285,15
2020-01-12,1,7,10,34,2,12,0,27,0,344,11
2020-01-19,1,3,9,19,6,3,1,16,0,282,8
2020-01-26,6,10,8,18,3,4,0,4,0,250,7
2020-02-02,1,3,4,11,0,7,0,7,3,183,4
2020-02-09,0,8,8,11,3,4,0,5,0,121,5
2020-02-16,1,1,2,8,3,3,0,4,0,133,6
2020-02-23,4,7,2,9,1,1,0,1,0,101,2
2020-03-01,2,9,0,14,3,2,0,2,0,101,1
2020-03-08,0,5,1,10,7,2,0,1,0,69,4
2020-03-15,1,2,1,5,1,1,0,0,0,25,0
2020-03-22,1,2,1,6,1,2,0,1,0,31,2
2020-03-29,3,1,1,5,0,1,0,0,0,21,0
2020-04-05,1,0,0,5,1,0,0,1,0,35,0
2020-04-12,1,0,0,5,1,0,0,1,0,35,0
2020-04-19,0,8,0,1,0,0,0,2,0,16,0
2020-04-26,6,13,0,3,0,0,0,0,0,15,0
2020-05-03,0,5,0,4,1,2,0,0,0,18,0
2020-05-10,0,7,1,2,0,2,0,4,0,27,0
2020-05-17,1,6,0,4,2,2,0,0,0,19,2
2020-05-24,1,6,0,0,1,2,0,1,0,29,0
2020-05-31,0,3,1,7,5,3,0,0,0,23,0
2020-06-07,1,2,3,4,1,3,0,0,0,31,0
2020-06-14,0,4,2,1,6,4,0,0,0,25,0
2020-06-21,1,1,0,0,21,2,0,0,0,24,0
2020-06-28,3,2,1,3,14,1,0,1,0,32,1
2020-07-05,2,4,0,4,12,0,0,0,0,17,0
2020-07-12,0,5,0,1,12,3,0,0,0,29,0
2020-07-19,1,2,0,4,11,0,0,1,0,8,0
2020-07-26,3,8,0,1,8,0,0,2,0,22,2
