rank,source,attempt,step,parent_number,rollout_number,smape,mae,rmse,mase,base_reward,flat_series_count,flat_forecast_penalty,selection_reward,adjusted_reward
1,Attempt 60,60,,,,39.479947011061824,39.46085437890656,120.34380059145032,0.3621935106498478,-39.479947011061824,0,0.0,-39.479947011061824,-39.479947011061824
2,Attempt 29,29,,,,39.483519149018456,39.482058965388525,120.38000505327564,0.3623707597991931,-39.483519149018456,0,0.0,-39.483519149018456,-39.483519149018456
3,Attempt 38,38,,,,39.48834385735657,39.46304731013938,120.34682259416496,0.36222404770640965,-39.48834385735657,0,0.0,-39.48834385735657,-39.48834385735657
4,Attempt 94,94,,,,46.162762067376164,50.53299222471784,118.27993364301986,0.4475219166847402,-46.162762067376164,1,5.0,-51.162762067376164,-51.162762067376164
5,Attempt 80,80,,,,49.982687469703045,60.17857142857143,126.48898879236202,0.5140426814697912,-49.982687469703045,3,15.0,-64.98268746970305,-64.98268746970305
6,Attempt 7,7,,,,65.03510500425253,99.36142857142856,200.1560977266065,0.7212828960398527,-65.03510500425253,3,15.0,-80.03510500425253,-80.03510500425253
7,Attempt 53,53,,,,87.69853698436143,45.90249446063781,96.72901841945927,0.4654122188900495,-87.69853698436143,0,0.0,-87.69853698436143,-87.69853698436143
8,Attempt 12,12,,,,87.69933179816243,40.16743650547307,122.1117602952239,0.37116335980724163,-87.69933179816243,0,0.0,-87.69933179816243,-87.69933179816243
9,Attempt 6,6,,,,91.8048357298361,51.83371745544783,136.46113809672514,0.535683455485427,-91.8048357298361,0,0.0,-91.8048357298361,-91.8048357298361
10,Attempt 73,73,,,,95.94542905591614,68.29689093377053,129.7119237817397,0.6598309748517137,-95.94542905591614,0,0.0,-95.94542905591614,-95.94542905591614
