day,date,series_index,series_name,predicted,actual,absolute_error,smape_component
1,2020-07-19,0,England,565.4285714285714,387.0,178.42857142857144,37.46812659367032
1,2020-07-19,1,Northern Ireland,0.0,0.0,0.0,0.0
1,2020-07-19,2,Scotland,9.642857142857142,24.0,14.357142857142858,85.35031847133759
1,2020-07-19,3,Wales,19.785714285714285,10.0,9.785714285714285,65.70743405275779
2,2020-07-20,0,England,565.4285714285714,735.0,169.57142857142856,26.079314511699433
2,2020-07-20,1,Northern Ireland,0.0,0.0,0.0,0.0
2,2020-07-20,2,Scotland,9.642857142857142,7.0,2.6428571428571423,31.75965665236051
2,2020-07-20,3,Wales,19.785714285714285,43.0,23.214285714285715,73.9476678043231
3,2020-07-21,0,England,565.4285714285714,675.0,109.57142857142856,17.666705055856266
3,2020-07-21,1,Northern Ireland,0.0,0.0,0.0,0.0
3,2020-07-21,2,Scotland,9.642857142857142,22.0,12.357142857142858,78.10383747178331
3,2020-07-21,3,Wales,19.785714285714285,61.0,41.214285714285715,102.03359858532274
4,2020-07-22,0,England,565.4285714285714,729.0,163.57142857142856,25.273148659088395
4,2020-07-22,1,Northern Ireland,0.0,0.0,0.0,0.0
4,2020-07-22,2,Scotland,9.642857142857142,10.0,0.35714285714285765,3.6363636363636416
4,2020-07-22,3,Wales,19.785714285714285,24.0,4.214285714285715,19.24959216965743
5,2020-07-23,0,England,565.4285714285714,714.0,148.57142857142856,23.224653863331838
5,2020-07-23,1,Northern Ireland,0.0,0.0,0.0,0.0
5,2020-07-23,2,Scotland,9.642857142857142,16.0,6.357142857142858,49.582172701949865
5,2020-07-23,3,Wales,19.785714285714285,31.0,11.214285714285715,44.16315049226442
6,2020-07-24,0,England,565.4285714285714,678.0,112.57142857142856,18.10661764705882
6,2020-07-24,1,Northern Ireland,0.0,0.0,0.0,0.0
6,2020-07-24,2,Scotland,9.642857142857142,21.0,11.357142857142858,74.12587412587413
6,2020-07-24,3,Wales,19.785714285714285,30.0,10.214285714285715,41.032998565279776
7,2020-07-25,0,England,565.4285714285714,486.0,79.42857142857144,15.108695652173916
7,2020-07-25,1,Northern Ireland,0.0,0.0,0.0,0.0
7,2020-07-25,2,Scotland,9.642857142857142,27.0,17.357142857142858,94.73684210526318
7,2020-07-25,3,Wales,19.785714285714285,23.0,3.2142857142857153,15.02504173622705
8,2020-07-26,0,England,565.4285714285714,504.0,61.428571428571445,11.488111140796155
8,2020-07-26,1,Northern Ireland,0.0,0.0,0.0,0.0
8,2020-07-26,2,Scotland,9.642857142857142,4.0,5.642857142857142,82.72251308900523
8,2020-07-26,3,Wales,19.785714285714285,34.0,14.214285714285715,52.855245683930946
9,2020-07-27,0,England,565.4285714285714,779.0,213.57142857142856,31.771331420677924
9,2020-07-27,1,Northern Ireland,0.0,0.0,0.0,0.0
9,2020-07-27,2,Scotland,9.642857142857142,3.0,6.642857142857142,105.08474576271186
9,2020-07-27,3,Wales,19.785714285714285,22.0,2.2142857142857153,10.598290598290603
10,2020-07-28,0,England,565.4285714285714,695.0,129.57142857142856,20.5599002606823
10,2020-07-28,1,Northern Ireland,0.0,0.0,0.0,0.0
10,2020-07-28,2,Scotland,9.642857142857142,4.0,5.642857142857142,82.72251308900523
10,2020-07-28,3,Wales,19.785714285714285,21.0,1.2142857142857153,5.954465849387045
11,2020-07-29,0,England,565.4285714285714,643.0,77.57142857142856,12.838396973637542
11,2020-07-29,1,Northern Ireland,0.0,0.0,0.0,0.0
11,2020-07-29,2,Scotland,9.642857142857142,22.0,12.357142857142858,78.10383747178331
11,2020-07-29,3,Wales,19.785714285714285,12.0,7.785714285714285,48.988764044943814
12,2020-07-30,0,England,565.4285714285714,393.0,172.42857142857144,35.981517364733946
12,2020-07-30,1,Northern Ireland,0.0,0.0,0.0,0.0
12,2020-07-30,2,Scotland,9.642857142857142,17.0,7.357142857142858,55.22788203753352
12,2020-07-30,3,Wales,19.785714285714285,5.0,14.785714285714285,119.30835734870317
13,2020-07-31,0,England,565.4285714285714,45.0,520.4285714285714,170.51252047741633
13,2020-07-31,1,Northern Ireland,0.0,0.0,0.0,0.0
13,2020-07-31,2,Scotland,9.642857142857142,30.0,20.357142857142858,102.70270270270272
13,2020-07-31,3,Wales,19.785714285714285,0.0,19.785714285714285,200.0
14,2020-08-01,0,England,565.4285714285714,0.0,565.4285714285714,200.0
14,2020-08-01,1,Northern Ireland,0.0,0.0,0.0,0.0
14,2020-08-01,2,Scotland,9.642857142857142,18.0,8.357142857142858,60.465116279069775
14,2020-08-01,3,Wales,19.785714285714285,0.0,19.785714285714285,200.0
