rank,source,attempt,step,parent_number,rollout_number,smape,mae,rmse,mase,base_reward,flat_series_count,flat_forecast_penalty,selection_reward,adjusted_reward
1,"Step 9, Rollout 9",,9,1,9,46.95121468122598,53.85969387755102,122.35664248083826,0.458385714801602,-46.95121468122598,3,15.0,-61.95121468122598,-61.95121468122598
2,"Step 3, Rollout 8",,3,1,8,62.58949551880883,94.38684677818448,185.51580945892135,0.7127101525780737,-62.58949551880883,1,5.0,-67.58949551880883,-67.58949551880883
3,"Step 1, Rollout 6",,1,1,6,65.03510500425253,99.36142857142856,200.1560977266065,0.7212828960398527,-65.03510500425253,3,15.0,-80.03510500425253,-80.03510500425253
4,"Step 7, Rollout 3",,7,1,3,73.95402493985176,48.9539635824986,117.03799209699187,0.4432377840223208,-73.95402493985176,1,5.0,-78.95402493985176,-78.95402493985176
5,"Step 6, Rollout 6",,6,1,6,78.59186049444902,47.477893632532265,118.37635684539269,0.44051871421898214,-78.59186049444902,1,5.0,-83.59186049444902,-83.59186049444902
6,"Step 8, Rollout 2",,8,1,2,79.2898907351106,48.45894798792407,118.21513572910399,0.4385210526167783,-79.2898907351106,1,5.0,-84.2898907351106,-84.2898907351106
7,"Step 8, Rollout 3",,8,1,3,79.56528466662492,47.73705819523165,116.07403645830605,0.43917109560499856,-79.56528466662492,1,5.0,-84.56528466662492,-84.56528466662492
8,"Step 8, Rollout 10",,8,1,10,80.28881867765541,48.95036084189961,117.06067557351612,0.4425558427378158,-80.28881867765541,1,5.0,-85.28881867765541,-85.28881867765541
9,"Step 8, Rollout 7",,8,1,7,80.42757537887314,47.7588677240109,115.98086242144241,0.4395840669237403,-80.42757537887314,1,5.0,-85.42757537887314,-85.42757537887314
10,"Step 8, Rollout 5",,8,1,5,80.99859277071297,48.97649746896089,116.99099101133669,0.44324131514148013,-80.99859277071297,1,5.0,-85.99859277071297,-85.99859277071297
