rank,source,attempt,step,parent_number,rollout_number,smape,mae,rmse,mase,base_reward,flat_series_count,flat_forecast_penalty,selection_reward,adjusted_reward
1,Attempt 42,42,,,,54.908097104864616,360.76735376664783,2815.9374954367054,0.254881136268764,-54.908097104864616,0,0.0,-54.908097104864616,-54.908097104864616
2,Attempt 12,12,,,,55.21875339544449,317.15154011471503,3011.0143752249455,0.23016926465839355,-55.21875339544449,0,0.0,-55.21875339544449,-55.21875339544449
3,Attempt 30,30,,,,55.84118289770701,393.26535961892466,3044.9991345669587,0.26762764446626297,-55.84118289770701,0,0.0,-55.84118289770701,-55.84118289770701
4,Attempt 60,60,,,,57.90699021872919,314.76616307735816,3020.33512599682,0.22056286772072856,-57.90699021872919,0,0.0,-57.90699021872919,-57.90699021872919
5,Attempt 38,38,,,,60.20654095794018,314.63570953311887,3018.478097966652,0.22057842401217004,-60.20654095794018,0,0.0,-60.20654095794018,-60.20654095794018
6,Attempt 29,29,,,,62.51039468388211,314.648984268457,3018.2969236504478,0.22065616637917032,-62.51039468388211,0,0.0,-62.51039468388211,-62.51039468388211
7,Attempt 6,6,,,,62.97133768459883,432.83285326623474,3165.964481815877,0.2863028877583552,-62.97133768459883,0,0.0,-62.97133768459883,-62.97133768459883
8,Attempt 83,83,,,,109.91809366658126,1358.3520408163265,4516.543989284601,2.633966536597451,-109.91809366658126,0,0.0,-109.91809366658126,-109.91809366658126
9,Attempt 53,53,,,,118.93709936957812,379.4373291739042,3010.8011807805583,0.25522891826334604,-118.93709936957812,0,0.0,-118.93709936957812,-118.93709936957812
10,Attempt 37,37,,,,117.30163591979283,1017.5902091042035,4061.808859819372,3.994608804717093,-117.30163591979283,4,20.0,-137.30163591979283,-137.30163591979283
