rank,source,attempt,step,parent_number,rollout_number,smape,mae,rmse,mase,base_reward,flat_series_count,flat_forecast_penalty,selection_reward,adjusted_reward
1,Attempt 42,42,,,,54.908097104864616,360.76735376664783,2815.9374954367054,0.254881136268764,-54.908097104864616,0,0.0,-54.908097104864616,-54.908097104864616
2,Attempt 12,12,,,,55.21875339544449,317.15154011471503,3011.0143752249455,0.23016926465839355,-55.21875339544449,0,0.0,-55.21875339544449,-55.21875339544449
3,Attempt 30,30,,,,55.84118289770701,393.26535961892466,3044.9991345669587,0.26762764446626297,-55.84118289770701,0,0.0,-55.84118289770701,-55.84118289770701
4,Attempt 60,60,,,,57.90699021872919,314.76616307735816,3020.33512599682,0.22056286772072856,-57.90699021872919,0,0.0,-57.90699021872919,-57.90699021872919
5,Attempt 38,38,,,,60.20654095794018,314.63570953311887,3018.478097966652,0.22057842401217004,-60.20654095794018,0,0.0,-60.20654095794018,-60.20654095794018
6,Attempt 28,28,,,,60.45918367346938,490.44132653061223,3413.782004834318,0.3711574393640355,-60.45918367346938,21,105.0,-165.4591836734694,-165.4591836734694
7,Attempt 29,29,,,,62.51039468388211,314.648984268457,3018.2969236504478,0.22065616637917032,-62.51039468388211,0,0.0,-62.51039468388211,-62.51039468388211
8,Attempt 6,6,,,,62.97133768459883,432.83285326623474,3165.964481815877,0.2863028877583552,-62.97133768459883,0,0.0,-62.97133768459883,-62.97133768459883
9,Attempt 80,80,,,,74.98996907776714,1129.734693877551,4280.282381491451,0.710590950674365,-74.98996907776714,21,105.0,-179.98996907776714,-179.98996907776714
10,Attempt 83,83,,,,109.91809366658126,1358.3520408163265,4516.543989284601,2.633966536597451,-109.91809366658126,0,0.0,-109.91809366658126,-109.91809366658126
