rank,source,attempt,step,parent_number,rollout_number,smape,mae,rmse,mase,base_reward,flat_series_count,flat_forecast_penalty,selection_reward,adjusted_reward
1,"Step 2, Rollout 4",,2,1,4,55.84118289770701,393.26535961892466,3044.9991345669587,0.26762764446626297,-55.84118289770701,0,0.0,-55.84118289770701,-55.84118289770701
2,"Step 3, Rollout 3",,3,1,3,60.374374895342754,393.55679276496306,3044.9996517730674,0.28963425454255853,-60.374374895342754,0,0.0,-60.374374895342754,-60.374374895342754
3,"Step 2, Rollout 5",,2,1,5,62.632443838616005,408.36884865128866,3050.2813733371663,0.27736724118080053,-62.632443838616005,0,0.0,-62.632443838616005,-62.632443838616005
4,"Step 1, Rollout 5",,1,1,5,62.97133768459883,432.83285326623474,3165.964481815877,0.2863028877583552,-62.97133768459883,0,0.0,-62.97133768459883,-62.97133768459883
5,"Step 9, Rollout 10",,9,1,10,82.47286902870262,792.7752156723543,3410.9604071272383,0.5763029677516973,-82.47286902870262,6,30.0,-112.47286902870262,-112.47286902870262
6,"Step 8, Rollout 3",,8,1,3,60.45918367346938,490.44132653061223,3413.782004834318,0.3711574393640355,-60.45918367346938,21,105.0,-165.4591836734694,-165.4591836734694
7,"Step 8, Rollout 5",,8,1,5,157.2589242793962,885.0156796855309,3361.711160321366,0.6452932927006171,-157.2589242793962,2,10.0,-167.2589242793962,-167.2589242793962
8,"Step 7, Rollout 5",,7,1,5,143.6317105923997,1075.4793192562265,3143.2133952026647,0.8787372955766324,-143.6317105923997,12,60.0,-203.6317105923997,-203.6317105923997
9,"Step 1, Rollout 2",,1,1,2,166.2910575228898,879.9084719724906,3352.09933995485,0.6318090850702849,-166.2910575228898,19,95.0,-261.2910575228898,-261.2910575228898
10,"Step 4, Rollout 4",,4,1,4,165.29229311713038,873.3093151691039,3505.959213798817,0.5962712470105073,-165.29229311713038,20,100.0,-265.2922931171304,-265.2922931171304
