series_index,series_name,smape,mae,rmse
0,AMAZONAS,48.9888699362541,6.433973221245436,7.074939596784834
1,ANTIOQUIA,26.02508520022943,7.4565622323768705,8.576600712123792
2,ARAUCA,17.914352392084886,4.553609180970666,6.406512673774038
3,ATLANTICO,12.011486960740992,55.9557374571862,65.45379749600687
4,BOGOTA,0.0,0.0,0.0
5,BOLIVAR,15.500226794499634,30.25156153336036,36.164330884606905
6,BOYACA,87.7995557362899,2.449599830398512,2.907208362549197
7,CALDAS,56.67954559657177,1.9524373368932622,2.4479673393828882
8,CAQUETA,34.65181005779849,8.093336491480304,8.67720246951281
9,CASANARE,94.72212398534137,11.887030790502365,12.450872382991006
10,CAUCA,54.27760744930132,9.021941349889179,10.37003416197373
11,CESAR,28.211978878537668,16.978908610016063,19.69567239472904
12,CHOCO,64.89180532462852,15.651477903935332,16.62048615888405
13,CORDOBA,15.819573182912317,10.492596840704937,13.17474146719079
14,CUNDINAMARCA,29.097981431892116,9.089551245600711,12.847573087469028
15,GUAINIA,54.717087181093085,0.8228751747245895,0.8956381111521062
16,GUAJIRA,14.463505265942288,16.67985206937642,22.36795729579209
17,GUAVIARE,46.643655938020935,15.474921160320406,18.44807020952658
18,HUILA,30.48806473361961,6.240924676694988,7.2119749938633495
19,MAGDALENA,29.49741452517601,12.591849750761112,15.921079987036853
20,META,8.95448613926408,9.475947375767646,15.20693332249422
21,NARINO,76.53079371336564,9.094771445064724,10.23648219851166
22,NORTE SANTANDER,21.472668665779167,8.80111185174892,10.229868713206665
23,PUTUMAYO,58.551461576824416,5.801887804996817,6.453969157671059
24,QUINDIO,52.33754655951166,1.4997236049085438,1.825433000788715
25,RISARALDA,134.4534119918371,1.2065263369691612,1.3919457218704163
26,SAN ANDRES,28.88927835409312,0.31026807011713187,0.4487474586592503
27,SANTANDER,19.596581571707496,10.806893443680153,11.979799622716936
28,SUCRE,20.6311961159521,20.559951757619825,23.428961484551042
29,TOLIMA,11.907555887524055,11.789239788533015,13.837568511454982
30,VALLE,42.382075645611785,40.219320794247565,47.72812172346334
31,VAUPES,40.0,0.75,0.8660254037844386
32,VICHADA,82.40813878127096,2.424627324848603,2.964131119541819
