rank,source,attempt,step,parent_number,rollout_number,smape,mae,rmse,mase,base_reward,flat_series_count,flat_forecast_penalty,selection_reward,adjusted_reward
1,Attempt 28,28,,,,41.22778562344473,11.055121710755751,19.003980732330167,1.74058850848937,-41.22778562344473,0,0.0,-41.22778562344473,-41.22778562344473
2,Attempt 6,6,,,,51.389813631307256,10.653634941321629,18.80373942965184,1.811932675090804,-51.389813631307256,1,5.0,-56.389813631307256,-56.389813631307256
3,Attempt 41,41,,,,41.46195760257848,12.999442627309353,26.063658811785803,1.8345005001736672,-41.46195760257848,3,15.0,-56.46195760257848,-56.46195760257848
4,Attempt 35,35,,,,41.46226879711201,12.999776486476714,26.064743958103683,1.8345302632903573,-41.46226879711201,3,15.0,-56.46226879711201,-56.46226879711201
5,Attempt 86,86,,,,41.47515393329373,12.751261214879117,25.1370292558372,1.8119336079543755,-41.47515393329373,3,15.0,-56.47515393329373,-56.47515393329373
6,Attempt 99,99,,,,51.631714442465956,10.691283558613646,18.85621871076278,1.7992584858572969,-51.631714442465956,1,5.0,-56.631714442465956,-56.631714442465956
7,Attempt 3,3,,,,36.69353518744506,12.57294923748681,24.907194649510693,1.7106797552679076,-36.69353518744506,4,20.0,-56.69353518744506,-56.69353518744506
8,Attempt 38,38,,,,43.93798462855027,13.02025784038293,26.141584502737196,1.8263067202105308,-43.93798462855027,3,15.0,-58.93798462855027,-58.93798462855027
9,Attempt 73,73,,,,92.4680678427994,33.12319149619549,68.99084574511143,4.211205148436736,-92.4680678427994,2,10.0,-102.4680678427994,-102.4680678427994
10,Attempt 51,51,,,,107.77505833054195,53.28726527471662,102.68413872111608,6.088409791338764,-107.77505833054195,0,0.0,-107.77505833054195,-107.77505833054195
