rank,source,attempt,step,parent_number,rollout_number,smape,mae,rmse,mase,base_reward,flat_series_count,flat_forecast_penalty,selection_reward,adjusted_reward
1,Attempt 13,13,,,,35.298665216337696,10.423317805581327,19.575635293198918,1.5066073180331132,-35.298665216337696,22,110.0,-145.2986652163377,-145.2986652163377
2,Attempt 56,56,,,,35.30417161164864,10.42361091140693,19.572729101208093,1.5065509676686115,-35.30417161164864,22,110.0,-145.30417161164866,-145.30417161164866
3,Attempt 3,3,,,,36.69353518744506,12.57294923748681,24.907194649510693,1.7106797552679076,-36.69353518744506,4,20.0,-56.69353518744506,-56.69353518744506
4,Attempt 61,61,,,,37.03697888375775,11.159004962317438,22.55233991278031,1.578788110837783,-37.03697888375775,24,120.0,-157.03697888375774,-157.03697888375774
5,Attempt 28,28,,,,41.22778562344473,11.055121710755751,19.003980732330167,1.74058850848937,-41.22778562344473,0,0.0,-41.22778562344473,-41.22778562344473
6,Attempt 41,41,,,,41.46195760257848,12.999442627309353,26.063658811785803,1.8345005001736672,-41.46195760257848,3,15.0,-56.46195760257848,-56.46195760257848
7,Attempt 35,35,,,,41.46226879711201,12.999776486476714,26.064743958103683,1.8345302632903573,-41.46226879711201,3,15.0,-56.46226879711201,-56.46226879711201
8,Attempt 86,86,,,,41.47515393329373,12.751261214879117,25.1370292558372,1.8119336079543755,-41.47515393329373,3,15.0,-56.47515393329373,-56.47515393329373
9,Attempt 38,38,,,,43.93798462855027,13.02025784038293,26.141584502737196,1.8263067202105308,-43.93798462855027,3,15.0,-58.93798462855027,-58.93798462855027
10,Attempt 6,6,,,,51.389813631307256,10.653634941321629,18.80373942965184,1.811932675090804,-51.389813631307256,1,5.0,-56.389813631307256,-56.389813631307256
