rank,source,attempt,step,parent_number,rollout_number,smape,mae,rmse,mase,base_reward,flat_series_count,flat_forecast_penalty,selection_reward,adjusted_reward
1,"Step 4, Rollout 2",,4,1,2,30.306853962824825,10.909090909090908,22.67156809750927,1.5572489216737764,-30.306853962824825,26,130.0,-160.30685396282482,-160.30685396282482
2,"Step 6, Rollout 4",,6,1,4,30.48289837418871,10.823393749356796,22.3760440773621,1.548346570087822,-30.48289837418871,26,130.0,-160.48289837418872,-160.48289837418872
3,"Step 3, Rollout 6",,3,1,6,31.583962193499904,10.869055025414367,21.079096710166763,1.521344040714767,-31.583962193499904,16,80.0,-111.5839621934999,-111.5839621934999
4,"Step 2, Rollout 7",,2,1,7,33.80798154872087,12.934340797291211,29.64159153649724,1.6706335218751065,-33.80798154872087,8,40.0,-73.80798154872087,-73.80798154872087
5,"Step 8, Rollout 6",,8,1,6,35.30600966954869,10.422510690307659,19.56974494865497,1.5065706172802449,-35.30600966954869,22,110.0,-145.3060096695487,-145.3060096695487
6,"Step 10, Rollout 2",,10,1,2,36.014199870550854,10.088758408408243,20.457282365064344,1.4832757320633663,-36.014199870550854,1,5.0,-41.014199870550854,-41.014199870550854
7,"Step 1, Rollout 2",,1,1,2,36.69353518744506,12.57294923748681,24.907194649510693,1.7106797552679076,-36.69353518744506,4,20.0,-56.69353518744506,-56.69353518744506
8,"Step 4, Rollout 5",,4,1,5,51.38958514280766,10.653605335674023,18.803730508819296,1.8119317024338824,-51.38958514280766,1,5.0,-56.38958514280766,-56.38958514280766
9,"Step 1, Rollout 5",,1,1,5,51.389813631307256,10.653634941321629,18.80373942965184,1.811932675090804,-51.389813631307256,1,5.0,-56.389813631307256,-56.389813631307256
10,"Step 8, Rollout 2",,8,1,2,51.399070820916236,10.653630698254267,18.80371748268456,1.8119352651103457,-51.399070820916236,1,5.0,-56.399070820916236,-56.399070820916236
