rank,source,attempt,step,parent_number,rollout_number,smape,mae,rmse,mase,base_reward,flat_series_count,flat_forecast_penalty,selection_reward,adjusted_reward
1,Attempt 28,28,,,,60.63368051895824,14.650842700052744,37.38332880445568,3.2842205872511183,-60.63368051895824,0,0.0,-60.63368051895824,-60.63368051895824
2,Attempt 99,99,,,,62.059533089655616,13.471402669826984,33.85268605815479,3.269407675433003,-62.059533089655616,0,0.0,-62.059533089655616,-62.059533089655616
3,Attempt 6,6,,,,65.54088781265483,12.70696995594734,31.322287423215002,3.227826503931892,-65.54088781265483,0,0.0,-65.54088781265483,-65.54088781265483
4,Attempt 11,11,,,,68.58353849271481,15.966845265676001,46.52513138637153,2.982395847882795,-68.58353849271481,2,10.0,-78.58353849271481,-78.58353849271481
5,Attempt 20,20,,,,74.2198620057655,16.2954131593861,47.94567819095966,2.8311782702359354,-74.2198620057655,2,10.0,-84.2198620057655,-84.2198620057655
6,Attempt 8,8,,,,74.22389062951808,16.294825008862055,47.943607795147805,2.8310228884185635,-74.22389062951808,2,10.0,-84.22389062951808,-84.22389062951808
7,Attempt 56,56,,,,65.56323998051884,13.076323247582707,35.748115349533585,2.628912934755273,-65.56323998051884,4,20.0,-85.56323998051884,-85.56323998051884
8,Attempt 13,13,,,,65.56438655297117,13.076385605561903,35.7480319514333,2.628931743635891,-65.56438655297117,4,20.0,-85.56438655297117,-85.56438655297117
9,Attempt 35,35,,,,70.76905152928089,15.326591207476504,43.935305543242904,2.76928665346528,-70.76905152928089,3,15.0,-85.76905152928089,-85.76905152928089
10,Attempt 86,86,,,,72.10301898382235,15.420975251612752,44.220908820038545,2.8419024339538663,-72.10301898382235,3,15.0,-87.10301898382235,-87.10301898382235
