rank,source,attempt,step,parent_number,rollout_number,smape,mae,rmse,mase,base_reward,flat_series_count,flat_forecast_penalty,selection_reward,adjusted_reward
1,Attempt 28,28,,,,60.63368051895824,14.650842700052744,37.38332880445568,3.2842205872511183,-60.63368051895824,0,0.0,-60.63368051895824,-60.63368051895824
2,Attempt 99,99,,,,62.059533089655616,13.471402669826984,33.85268605815479,3.269407675433003,-62.059533089655616,0,0.0,-62.059533089655616,-62.059533089655616
3,Attempt 6,6,,,,65.54088781265483,12.70696995594734,31.322287423215002,3.227826503931892,-65.54088781265483,0,0.0,-65.54088781265483,-65.54088781265483
4,Attempt 56,56,,,,65.56323998051884,13.076323247582707,35.748115349533585,2.628912934755273,-65.56323998051884,4,20.0,-85.56323998051884,-85.56323998051884
5,Attempt 13,13,,,,65.56438655297117,13.076385605561903,35.7480319514333,2.628931743635891,-65.56438655297117,4,20.0,-85.56438655297117,-85.56438655297117
6,Attempt 5,5,,,,65.61874280840212,11.34806523837366,29.01469897313243,2.592140551624507,-65.61874280840212,8,40.0,-105.61874280840212,-105.61874280840212
7,Attempt 30,30,,,,67.77458734891572,16.26134475481319,46.00316021899161,3.158674005664172,-67.77458734891572,5,25.0,-92.77458734891572,-92.77458734891572
8,Attempt 11,11,,,,68.58353849271481,15.966845265676001,46.52513138637153,2.982395847882795,-68.58353849271481,2,10.0,-78.58353849271481,-78.58353849271481
9,Attempt 71,71,,,,69.87935874748318,16.679492349383455,48.038121970278354,3.0208436649293393,-69.87935874748318,7,35.0,-104.87935874748318,-104.87935874748318
10,Attempt 35,35,,,,70.76905152928089,15.326591207476504,43.935305543242904,2.76928665346528,-70.76905152928089,3,15.0,-85.76905152928089,-85.76905152928089
