day,date,series_index,series_name,predicted,actual,absolute_error,smape_component
1,2022-09-18,0,BOCAS DEL TORO,20.118367725764543,28.0,7.881632274235457,32.759350105782204
1,2022-09-18,1,CHIRIQUI,4.4388532961421525,4.0,0.4388532961421525,10.400780313191975
1,2022-09-18,2,COCLE,16.28405493716762,14.0,2.284054937167621,15.084208121445458
1,2022-09-18,3,COLON,6.5182153222813355,7.0,0.4817846777186645,7.127933181010443
1,2022-09-18,4,DARIEN,1.7099430169730885,3.0,1.2900569830269115,54.78015247224731
1,2022-09-18,5,HERRERA,33.70080424250451,36.0,2.2991957574954895,6.597329205832629
1,2022-09-18,6,KUNA YALA,9.025221750564985,4.0,5.0252217505649845,77.16140034770632
1,2022-09-18,7,LOS SANTOS,13.650887281741204,8.0,5.650887281741204,52.20005266487858
1,2022-09-18,8,NGOBE BUGLE,1.0236948343651093,1.0,0.02369483436510933,2.34173986736919
1,2022-09-18,9,PANAMA,330.4764328167325,273.0,57.47643281673248,19.048443217065042
1,2022-09-18,10,VERAGUAS,6.272482677267606,2.0,4.272482677267606,103.29384403567717
2,2022-09-25,0,BOCAS DEL TORO,25.2091323180462,19.0,6.209132318046201,28.089817612238587
2,2022-09-25,1,CHIRIQUI,6.052897141399896,6.0,0.052897141399895986,0.8777498186423948
2,2022-09-25,2,COCLE,11.99185153655188,14.0,2.0081484634481193,15.452138610626456
2,2022-09-25,3,COLON,13.811296900749749,16.0,2.188703099250251,14.683716086133813
2,2022-09-25,4,DARIEN,3.7557358241184495,1.0,2.7557358241184495,115.89103878070303
2,2022-09-25,5,HERRERA,37.101089244228085,31.0,6.101089244228085,17.917743495549693
2,2022-09-25,6,KUNA YALA,14.471873731459128,0.0,14.471873731459128,200.00000000000003
2,2022-09-25,7,LOS SANTOS,9.332046617250958,9.0,0.33204661725095796,3.622580982731006
2,2022-09-25,8,NGOBE BUGLE,1.6558571850299997,0.0,1.6558571850299997,200.00000000000003
2,2022-09-25,9,PANAMA,348.2850018555191,263.0,85.28500185551911,27.90351524956169
2,2022-09-25,10,VERAGUAS,6.832250380116578,1.0,5.832250380116578,148.92910969553986
3,2022-10-02,0,BOCAS DEL TORO,17.904500488936627,17.0,0.9045004889366268,5.182715559693046
3,2022-10-02,1,CHIRIQUI,7.403031981588065,6.0,1.4030319815880654,20.936038704010112
3,2022-10-02,2,COCLE,13.227010419996066,16.0,2.7729895800039337,18.97552667998335
3,2022-10-02,3,COLON,11.000000000000002,7.0,4.000000000000002,44.444444444444464
3,2022-10-02,4,DARIEN,1.5464268117607485,1.0,0.5464268117607485,42.91714250235348
3,2022-10-02,5,HERRERA,31.241334821410597,29.0,2.2413348214105966,7.441185783997587
3,2022-10-02,6,KUNA YALA,14.967194912910845,0.0,14.967194912910845,200.0
3,2022-10-02,7,LOS SANTOS,14.093705574467673,7.0,7.093705574467673,67.25897969348794
3,2022-10-02,8,NGOBE BUGLE,0.0,0.0,0.0,0.0
3,2022-10-02,9,PANAMA,327.6225757802878,231.0,96.62257578028778,34.5931510717499
3,2022-10-02,10,VERAGUAS,5.890768640455252,1.0,4.890768640455252,141.95132344864604
4,2022-10-09,0,BOCAS DEL TORO,16.452869460580406,18.0,1.5471305394195944,8.98114185345148
4,2022-10-09,1,CHIRIQUI,7.771695632133358,10.0,2.2283043678666417,25.077003500303032
4,2022-10-09,2,COCLE,16.258818748822033,15.0,1.2588187488220335,8.054167106807075
4,2022-10-09,3,COLON,12.0,11.0,1.0,8.695652173913043
4,2022-10-09,4,DARIEN,2.970932685543546,1.0,1.9709326855435458,99.26799780408578
4,2022-10-09,5,HERRERA,26.0983981608045,29.0,2.9016018391955,10.532436281458436
4,2022-10-09,6,KUNA YALA,13.064027073828754,1.0,12.064027073828754,171.55864405691128
4,2022-10-09,7,LOS SANTOS,7.704569200132665,10.0,2.2954307998673347,25.930377338411986
4,2022-10-09,8,NGOBE BUGLE,2.318987144346484,0.0,2.318987144346484,200.0
4,2022-10-09,9,PANAMA,298.0394802870414,217.0,81.03948028704139,31.46923037506815
