series_index,series_name,smape,mae,rmse
0,BOCAS DEL TORO,22.934941931561866,3.585105363436655,4.325137368248545
1,CHIRIQUI,31.1640074598334,2.2440806982115267,3.116682920888747
2,COCLE,21.50573361607831,3.5924726481661153,4.765223042721534
3,COLON,57.97601578688521,5.062857475101768,6.497046831799131
4,DARIEN,85.3999219251931,1.826467795595993,2.0340787945787597
5,HERRERA,9.11540454396928,2.8986399405149372,3.2007928764936433
6,KUNA YALA,174.04799581866095,14.577775317071023,15.342885995759698
7,LOS SANTOS,32.00591662882012,3.6135555576188043,4.258721432439658
8,NGOBE BUGLE,125.29271748342114,1.0583950549739345,1.4015091009865965
9,PANAMA,42.44892151281214,97.94055482554282,102.18779340316866
10,VERAGUAS,106.62575485114027,4.62507855338837,4.864782209401757
