rank,source,attempt,step,parent_number,rollout_number,smape,mae,rmse,mase,base_reward,flat_series_count,flat_forecast_penalty,selection_reward,adjusted_reward
1,"Step 4, Rollout 6",,4,1,6,64.41066650530689,12.820453020874725,31.37636394525715,3.459854071750486,-64.41066650530689,0,0.0,-64.41066650530689,-64.41066650530689
2,"Step 1, Rollout 5",,1,1,5,65.54088781265483,12.70696995594734,31.322287423215002,3.227826503931892,-65.54088781265483,0,0.0,-65.54088781265483,-65.54088781265483
3,"Step 6, Rollout 6",,6,1,6,69.70935129071836,12.838782782609366,31.341272626129424,3.463596880413949,-69.70935129071836,0,0.0,-69.70935129071836,-69.70935129071836
4,"Step 8, Rollout 2",,8,1,2,74.69751310677934,12.716616084926402,31.382237875899527,3.2231571789823423,-74.69751310677934,0,0.0,-74.69751310677934,-74.69751310677934
5,"Step 1, Rollout 10",,1,1,10,68.58353849271481,15.966845265676001,46.52513138637153,2.982395847882795,-68.58353849271481,2,10.0,-78.58353849271481,-78.58353849271481
6,"Step 1, Rollout 7",,1,1,7,74.22389062951808,16.294825008862055,47.943607795147805,2.8310228884185635,-74.22389062951808,2,10.0,-84.22389062951808,-84.22389062951808
7,"Step 3, Rollout 1",,3,1,1,49.97583845700399,14.325891169445505,40.08194731845491,2.730549353548763,-49.97583845700399,7,35.0,-84.97583845700399,-84.97583845700399
8,"Step 5, Rollout 2",,5,1,2,67.44818576269216,14.35744284643648,39.785833562469364,3.0393813333465953,-67.44818576269216,6,30.0,-97.44818576269216,-97.44818576269216
9,"Step 4, Rollout 9",,4,1,9,65.64865945614935,11.35389336392964,29.719905699077188,2.5941778756091303,-65.64865945614935,7,35.0,-100.64865945614935,-100.64865945614935
10,"Step 1, Rollout 4",,1,1,4,65.61874280840212,11.34806523837366,29.01469897313243,2.592140551624507,-65.61874280840212,8,40.0,-105.61874280840212,-105.61874280840212
